identificatie,EnergyEST
"0153100000267845",277.764
"0153100000216308",230.848
"0153100000244124",238.554
"0153100000226792",228.401
"0153100000254657",228.856
"0153100000209060",44.447
"0153100000233667",230.401
"0153100000230033",179.167
"0153100000219685",113.813
"0153100000241533",164.686
"0153100000229505",231.362
"0153100000209349",53.809
"0153100000222171",62.759
"0153100000266913",106.518
"0153100000223578",153.801
"0153100000215426",105.711
"0153100000227899",31.130
"0153100000269815",193.423
"0153100000265037",34.097
"0153100000272710",242.248
"0153100000266010",234.419
"0153100000275749",34.991
"0153100000276442",40.564
"0153100000283062",207.755
"0153100000290104",241.371
"0153100000290432",228.017
"0153100000293304",36.928
"0153100000293475",224.250
"0153100000503170",117.487
"0153100000202605",149.769
"0153100000213485",146.239
"0153100000203159",138.741
"0153100000237026",141.101
"0153100000232421",159.164
"0153100000236988",364.752
"0153100000207403",168.256
"0153100000211811",367.685
"0153100000272656",221.778
"0153100000279773",131.643
"0153100000235691",153.884
"0153100000274918",113.996
"0153100000203366",141.958
"0153100000212890",37.777
"0153100000234958",35.386
"0153100000234777",43.944
"0153100000284872",29.624
"0153100000242455",2380.672
"0153100000259559",459.912
"0153100000222395",435.089
"0153100000263745",448.768
"0153100000271362",226.981
"0153100000207894",183.974
"0153100000215830",148.633
"0153100000230702",162.043
"0153100000233595",142.663
"0153100000233020",145.041
"0153100000218167",157.546
"0153100000276401",138.351
"0153100000257502",151.524
"0153100000204768",135.140
"0153100000213484",135.633
"0153100000204351",150.703
"0153100000257475",114.679
"0153100000265063",115.702
"0153100000268021",113.201
"0153100000229400",242.925
"0153100000237056",244.554
"0153100000289127",239.332
"0153100000224530",26.083
"0153100000232106",33.324
"0153100000242246",26.337
"0153100000233458",30.705
"0153100000237045",101.487
"0153100000230297",35.954
"0153100000242356",446.460
"0153100000243142",1107.528
"0153100000231271",6244.205
"0153100000236709",250.483
"0153100000246605",3861.840
"0153100000227015",114.742
"0153100000220684",86.357
"0153100000208972",21.155
"0153100000225886",98.564
"0153100000231896",64.633
"0153100000214101",32.454
"0153100000214739",26.259
"0153100000228171",60.443
"0153100000215159",67.575
"0153100000248092",120.823
"0153100000246738",29.617
"0153100000241051",76.450
"0153100000251599",156.554
"0153100000250201",250.678
"0153100000243404",114.424
"0153100000247466",42.531
"0153100000254808",247.192
"0153100000255816",173.873
"0153100000248019",109.783
"0153100000259064",30.069
"0153100000262757",109.506
"0153100000269105",249.640
"0153100000264872",53.694
"0153100000265853",7226.163
"0153100000273679",111.332
"0153100000271312",127.823
"0153100000275748",35.572
"0153100000277466",421.015
"0153100000277745",249.761
"0153100000276386",417.227
"0153100000281772",11632.860
"0153100000282686",138.592
"0153100000281415",37.860
"0153100000287126",442.743
"0153100000286715",2232.000
"0153100000285321",106.091
"0153100000277739",226.310
"0153100000279038",219.941
"0153100000272801",292.225
"0153100000283286",256.484
"0153100000256199",249.602
"0153100000241500",259.062
"0153100000277492",233.863
"0153100000257792",239.065
"0153100000207537",252.251
"0153100000233554",221.497
"0153100000206253",277.641
"0153100000220907",199.450
"0153100000213894",209.600
"0153100000232180",260.270
"0153100000209785",268.213
"0153100000229459",28.395
"0153100000227496",40.336
"0153100000289385",263.804
"0153100000293489",255.328
"0153100000503169",93.187
"0153100000511663",38.142
"0153100000230467",423.311
"0153100000236683",424.083
"0153100000217450",437.611
"0153100000232566",491.848
"0153100000233186",20.746
"0153100000247644",449.058
"0153100000233457",47.998
"0153100000210779",22.821
"0153100000242162",36.831
"0153100000224066",117.844
"0153100000207037",17.620
"0153100000234774",116.019
"0153100000213152",23.598
"0153100000234735",111.568
"0153100000217372",34.291
"0153100000231061",119.285
"0153100000234238",137.515
"0153100000234846",379.264
"0153100000239591",168.101
"0153100000231015",139.322
"0153100000244301",3915.909
"0153100000248155",106.961
"0153100000251100",136.371
"0153100000246330",34.057
"0153100000245574",134.020
"0153100000251917",32.081
"0153100000256188",168.244
"0153100000257334",205.726
"0153100000222379",56.858
"0153100000219113",113.503
"0153100000219743",150.138
"0153100000205417",56.014
"0153100000208291",50.538
"0153100000208290",45.911
"0153100000234139",152.418
"0153100000221308",46.573
"0153100000248731",48.691
"0153100000257660",46.556
"0153100000243046",163.942
"0153100000237191",118.831
"0153100000257455",46.316
"0153100000217825",459.532
"0153100000256797",49.982
"0153100000210210",110.593
"0153100000243755",109.183
"0153100000251637",408.202
"0153100000215385",118.109
"0153100000251549",114.501
"0153100000259754",410.060
"0153100000260538",57.032
"0153100000265797",404.277
"0153100000266578",104.134
"0153100000269897",72.787
"0153100000270218",51.818
"0153100000268905",114.306
"0153100000272707",109.935
"0153100000272270",47.675
"0153100000276118",151.716
"0153100000272351",104.397
"0153100000258855",36.540
"0153100000272422",114.043
"0153100000271437",465.162
"0153100000264402",156.743
"0153100000276731",45.842
"0153100000272971",402.508
"0153100000257860",105.880
"0153100000216781",98.316
"0153100000222872",40.270
"0153100000229253",41.547
"0153100000231931",33.848
"0153100000278699",52.979
"0153100000264581",47.079
"0153100000277924",50.524
"0153100000286634",110.124
"0153100000282951",130.882
"0153100000276539",34.505
"0153100000252154",425.362
"0153100000229103",176.551
"0153100000244943",32.818
"0153100000223607",196.463
"0153100000266856",28.166
"0153100000241133",420.354
"0153100000235245",65.144
"0153100000223584",122.295
"0153100000267784",299.778
"0153100000230989",151.286
"0153100000226065",123.808
"0153100000217373",62.250
"0153100000252489",63.549
"0153100000204118",104.734
"0153100000220779",448.327
"0153100000207144",110.413
"0153100000224587",31.603
"0153100000239754",29.988
"0153100000204259",429.399
"0153100000257598",438.974
"0153100000254086",445.926
"0153100000204222",447.814
"0153100000203422",449.224
"0153100000213516",106.292
"0153100000269848",110.091
"0153100000275644",58.957
"0153100000271851",455.397
"0153100000275709",40.063
"0153100000277313",110.851
"0153100000280113",49.598
"0153100000280178",26.251
"0153100000277550",432.941
"0153100000282654",114.646
"0153100000277847",106.704
"0153100000281417",30.153
"0153100000282824",431.780
"0153100000283034",113.469
"0153100000291595",51.976
"0153100000288028",159.819
"0153100000503171",26.148
"0153100000503176",27.978
"0153100000503177",28.711
"0153100000497197",14.751
"0153100000509154",38.340
"0153100000211299",285.631
"0153100000265094",13.529
"0153100000259223",38.693
"0153100000265139",34.597
"0153100000216317",257.774
"0153100000290129",202.818
"0153100000283543",206.012
"0153100000283585",206.725
"0153100000206412",209.870
"0153100000272334",207.011
"0153100000276663",18.141
"0153100000211298",261.559
"0153100000206242",204.201
"0153100000252994",237.722
"0153100000276662",19.299
"0153100000209779",260.766
"0153100000251068",204.071
"0153100000282397",20.750
"0153100000247373",18.083
"0153100000285801",211.603
"0153100000266011",220.537
"0153100000249885",214.237
"0153100000232278",212.612
"0153100000232513",239.106
"0153100000230055",235.417
"0153100000247244",232.970
"0153100000259232",213.136
"0153100000217203",243.917
"0153100000261376",266.919
"0153100000275971",231.782
