fid,feature_id,rdf_seeals,identifica,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,solar_Ener,pand_id_16,identificatie,EnergyEst
1,1236769,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000267845,1.53E+14,1957,Pand in gebruik,woonfunctie,50,55,2,277.764,1.53E+14,NL.IMBAG.Pand.0153100000267845,277.764
2,1194117,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000216308,1.53E+14,2010,Pand in gebruik,woonfunctie,152,152,1,230.848,1.53E+14,NL.IMBAG.Pand.0153100000216308,230.848
3,1214340,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000244124,1.53E+14,2010,Pand in gebruik,woonfunctie,167,167,1,238.554,1.53E+14,NL.IMBAG.Pand.0153100000244124,238.554
4,1201428,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000226792,1.53E+14,2010,Pand in gebruik,woonfunctie,99,99,1,228.401,1.53E+14,NL.IMBAG.Pand.0153100000226792,228.401
5,1224395,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000254657,1.53E+14,2010,Pand in gebruik,woonfunctie,95,95,1,228.856,1.53E+14,NL.IMBAG.Pand.0153100000254657,228.856
6,1190552,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000209060,1.53E+14,1996,Pand in gebruik,,,,0,44.447,1.53E+14,NL.IMBAG.Pand.0153100000209060,44.447
7,1204915,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000233667,1.53E+14,2010,Pand in gebruik,woonfunctie,93,93,1,230.401,1.53E+14,NL.IMBAG.Pand.0153100000233667,230.401
8,1212296,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000230033,1.53E+14,1996,Pand in gebruik,,,,0,179.167,1.53E+14,NL.IMBAG.Pand.0153100000230033,179.167
9,1192785,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000219685,1.53E+14,1955,Pand in gebruik,woonfunctie,73,73,1,113.813,1.53E+14,NL.IMBAG.Pand.0153100000219685,113.813
10,1217722,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000241533,1.53E+14,1955,Pand in gebruik,woonfunctie,117,117,1,164.686,1.53E+14,NL.IMBAG.Pand.0153100000241533,164.686
11,1205138,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000229505,1.53E+14,2010,Pand in gebruik,woonfunctie,114,114,1,231.362,1.53E+14,NL.IMBAG.Pand.0153100000229505,231.362
12,1186885,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000209349,1.53E+14,1955,Pand in gebruik,,,,0,53.809,1.53E+14,NL.IMBAG.Pand.0153100000209349,53.809
13,1195516,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000222171,1.53E+14,1955,Pand in gebruik,,,,0,62.759,1.53E+14,NL.IMBAG.Pand.0153100000222171,62.759
14,1236792,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000266913,1.53E+14,1955,Pand in gebruik,woonfunctie,73,73,1,106.518,1.53E+14,NL.IMBAG.Pand.0153100000266913,106.518
15,1200305,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000223578,1.53E+14,1955,Pand in gebruik,woonfunctie,117,117,1,153.801,1.53E+14,NL.IMBAG.Pand.0153100000223578,153.801
16,1191559,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000215426,1.53E+14,1955,Pand in gebruik,woonfunctie,73,73,1,105.711,1.53E+14,NL.IMBAG.Pand.0153100000215426,105.711
17,1203326,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000227899,1.53E+14,1955,Pand in gebruik,,,,0,31.13,1.53E+14,NL.IMBAG.Pand.0153100000227899,31.13
18,1237785,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000269815,1.53E+14,1955,Pand in gebruik,woonfunctie,123,123,1,193.423,1.53E+14,NL.IMBAG.Pand.0153100000269815,193.423
19,1238604,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000265037,1.53E+14,1955,Pand in gebruik,,,,0,34.097,1.53E+14,NL.IMBAG.Pand.0153100000265037,34.097
20,1240353,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000272710,1.53E+14,2010,Pand in gebruik,woonfunctie,93,93,1,242.248,1.53E+14,NL.IMBAG.Pand.0153100000272710,242.248
21,1241478,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000266010,1.53E+14,2010,Pand in gebruik,woonfunctie,152,152,1,234.419,1.53E+14,NL.IMBAG.Pand.0153100000266010,234.419
22,1245214,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000275749,1.53E+14,1955,Pand in gebruik,,,,0,34.991,1.53E+14,NL.IMBAG.Pand.0153100000275749,34.991
23,1249676,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000276442,1.53E+14,1955,Pand in gebruik,,,,0,40.564,1.53E+14,NL.IMBAG.Pand.0153100000276442,40.564
24,1254126,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000283062,1.53E+14,1955,Pand in gebruik,woonfunctie,129,129,1,207.755,1.53E+14,NL.IMBAG.Pand.0153100000283062,207.755
25,1254816,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000290104,1.53E+14,2010,Pand in gebruik,woonfunctie,163,163,1,241.371,1.53E+14,NL.IMBAG.Pand.0153100000290104,241.371
26,1258706,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000290432,1.53E+14,2010,Pand in gebruik,woonfunctie,152,152,1,228.017,1.53E+14,NL.IMBAG.Pand.0153100000290432,228.017
27,1260801,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000293304,1.53E+14,1955,Pand in gebruik,,,,0,36.928,1.53E+14,NL.IMBAG.Pand.0153100000293304,36.928
28,1262299,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000293475,1.53E+14,2010,Pand in gebruik,woonfunctie,152,152,1,224.25,1.53E+14,NL.IMBAG.Pand.0153100000293475,224.25
29,1268866,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000503170,1.53E+14,2017,Pand in gebruik,,,,0,117.487,1.53E+14,NL.IMBAG.Pand.0153100000503170,117.487
30,1174734,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000202605,1.53E+14,1956,Pand in gebruik,woonfunctie,109,109,1,149.769,1.53E+14,NL.IMBAG.Pand.0153100000202605,149.769
31,1195115,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000213485,1.53E+14,1956,Pand in gebruik,woonfunctie,109,109,1,146.239,1.53E+14,NL.IMBAG.Pand.0153100000213485,146.239
32,1175933,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000203159,1.53E+14,1956,Pand in gebruik,woonfunctie,109,109,1,138.741,1.53E+14,NL.IMBAG.Pand.0153100000203159,138.741
33,1212098,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000237026,1.53E+14,1956,Pand in gebruik,woonfunctie,109,109,1,141.101,1.53E+14,NL.IMBAG.Pand.0153100000237026,141.101
34,1205415,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000232421,1.53E+14,1956,Pand in gebruik,woonfunctie,109,109,1,159.164,1.53E+14,NL.IMBAG.Pand.0153100000232421,159.164
