identificatie,label,label_full
0153100000201873,D,D
0153100000201892,C,C
0153100000201955,C,C
0153100000202086,C,C
0153100000202162,C,C
0153100000202164,C,C
0153100000202170,C,C
0153100000202192,B,B
0153100000202271,A,A
0153100000202371,A,A++++
0153100000202556,B,B
0153100000202602,C,C
0153100000202747,C,C
0153100000202946,C,C
0153100000202972,C,C
0153100000202979,A,A
0153100000202981,A,A
0153100000203113,E,E
0153100000203152,B,B
0153100000203170,C,C
0153100000203261,C,C
0153100000203277,A,A
0153100000203287,A,A
0153100000203391,C,C
0153100000203402,C,C
0153100000203413,A,A
0153100000203422,A,A
0153100000203453,C,C
0153100000203455,D,D
0153100000203474,C,C
0153100000203728,D,D
0153100000203818,C,C
0153100000203847,C,C
0153100000204003,C,C
0153100000204013,C,C
0153100000204118,A,A
0153100000204222,A,A
0153100000204237,B,B
0153100000204259,A,A
0153100000204374,A,A
0153100000204447,A,A
0153100000204609,A,A
0153100000204672,G,G
0153100000204731,C,C
0153100000204920,C,C
0153100000205033,C,C
0153100000205117,B,B
0153100000205289,C,C
0153100000205341,D,D
0153100000206253,A,A
0153100000206382,C,C
0153100000206424,C,C
0153100000206425,A,A++++
0153100000206448,C,C
0153100000206460,C,C
0153100000206490,A,A
0153100000206558,C,C
0153100000206709,B,B
0153100000206783,A,A
0153100000207047,B,B
0153100000207135,D,D
0153100000207144,A,A
0153100000207337,C,C
0153100000207403,C,C
0153100000207466,B,B
0153100000207689,C,C
0153100000207730,A,A
0153100000207894,C,C
0153100000208036,E,E
0153100000208038,B,B
0153100000208706,C,C
0153100000208876,C,C
0153100000208880,B,B
0153100000209215,C,C
0153100000209626,A,A
0153100000209684,B,B
0153100000209785,A,A+++
0153100000210004,C,C
0153100000210575,B,B
0153100000210603,B,B
0153100000211107,F,F
0153100000211806,A,A
0153100000212110,A,A++++
0153100000212347,A,A
0153100000212542,G,G
0153100000213063,C,C
0153100000213444,A,A
0153100000213485,C,C
0153100000213938,A,A
0153100000214209,B,B
0153100000214243,A,A
0153100000214279,A,A
0153100000214594,D,D
0153100000215021,D,D
0153100000215034,D,D
0153100000215285,C,C
0153100000215321,C,C
0153100000215426,A,A
0153100000215428,B,B
0153100000215701,C,C
0153100000215772,B,B
0153100000215835,C,C
0153100000216468,B,B
0153100000216856,C,C
0153100000216891,C,C
0153100000217450,A,A
0153100000217826,C,C
0153100000217911,B,B
0153100000218874,B,B
0153100000219048,C,C
0153100000219051,A,A
0153100000219113,C,C
0153100000219115,F,F
0153100000219592,A,A
0153100000219685,A,A
0153100000219743,A,A
0153100000219882,G,G
0153100000219999,C,C
0153100000220310,C,C
0153100000220414,A,A
0153100000220771,C,C
0153100000220779,A,A
0153100000221025,C,C
0153100000221249,B,B
0153100000221358,C,C
0153100000221572,B,B
0153100000221809,C,C
0153100000221832,C,C
0153100000222224,C,C
0153100000222395,F,F
0153100000222712,C,C
0153100000222973,C,C
0153100000223041,B,B
0153100000223259,A,A
0153100000223584,A,A
0153100000223607,D,D
0153100000224061,A,A
0153100000225802,A,A
0153100000225839,C,C
0153100000225886,C,C
0153100000226065,A,A
0153100000226649,C,C
0153100000226680,A,A+
0153100000226822,C,C
0153100000227015,C,C
0153100000227045,D,D
0153100000227671,B,B
0153100000227698,C,C
0153100000228121,D,D
0153100000228285,F,F
0153100000228583,C,C
0153100000228984,D,D
0153100000229095,D,D
0153100000229117,C,C
0153100000229211,A,A+
0153100000229326,B,B
0153100000229401,A,A+
0153100000229636,B,B
0153100000229755,D,D
0153100000230055,A,A
0153100000230186,C,C
0153100000230467,A,A
0153100000230675,B,B
0153100000230702,B,B
0153100000230850,B,B
0153100000230989,A,A
0153100000231026,C,C
0153100000231061,C,C
0153100000231231,C,C
0153100000231271,A,A
0153100000231316,A,A
0153100000232180,A,A
0153100000232222,A,A
0153100000232282,B,B
0153100000232421,B,B
0153100000232566,A,A
0153100000232736,A,A
0153100000232923,C,C
0153100000232925,D,D
0153100000233465,D,D
0153100000233791,A,A
0153100000233838,A,A
0153100000234034,C,C
0153100000234069,B,B
0153100000234139,B,B
0153100000234286,B,B
0153100000234325,C,C
0153100000234458,D,D
0153100000234551,C,C
0153100000234735,C,C
0153100000234774,C,C
0153100000234881,B,B
0153100000235003,B,B
0153100000235005,B,B
0153100000235369,B,B
0153100000235382,A,A
0153100000235447,C,C
0153100000235632,B,B
0153100000235891,C,C
0153100000235975,C,C
0153100000236089,B,B
0153100000236494,B,B
0153100000236529,C,C
0153100000236683,A,A
0153100000236839,A,A
0153100000236915,A,A
0153100000236961,A,A
0153100000236970,C,C
0153100000237026,A,A
0153100000237040,B,B
0153100000237045,C,C
0153100000237124,C,C
0153100000237460,C,C
0153100000237540,B,B
0153100000237681,D,D
0153100000238158,C,C
0153100000238919,D,D
0153100000238944,C,C
0153100000239061,C,C
0153100000239460,C,C
0153100000239591,D,D
0153100000239682,B,B
0153100000239687,B,B
0153100000240032,C,C
0153100000240142,C,C
0153100000240303,C,C
0153100000240412,C,C
0153100000240915,B,B
0153100000241133,A,A
0153100000241305,B,B
0153100000241326,C,C
0153100000241471,B,B
0153100000241500,A,A
0153100000241533,C,C
0153100000241534,C,C
0153100000241537,B,B
0153100000241701,C,C
0153100000241817,C,C
0153100000242093,A,A
0153100000242313,B,B
